Date,Repairs
6/1/2013,1428
7/1/2013,2949
8/1/2013,2572
9/1/2013,3989
10/1/2013,2134
11/1/2013,2134
12/1/2013,2237
1/1/2014,2424
2/1/2014,3578
3/1/2014,3545
4/1/2014,2617
5/1/2014,2775
6/1/2014,3383
7/1/2014,4150
8/1/2014,3709
9/1/2014,5489
10/1/2014,5279
11/1/2014,4027
12/1/2014,4163
1/1/2015,3907
2/1/2015,3399
3/1/2015,3814
4/1/2015,3829
5/1/2015,5530
6/1/2015,5900
7/1/2015,6476
8/1/2015,7794
9/1/2015,7899
10/1/2015,7847
11/1/2015,7452
12/1/2015,7157
1/1/2016,7940
2/1/2016,8897
3/1/2016,7538
4/1/2016,9263
5/1/2016,11223
6/1/2016,13443
7/1/2016,16018
8/1/2016,17821
9/1/2016,18936
10/1/2016,19879
11/1/2016,16217
12/1/2016,12947
1/1/2017,11363
2/1/2017,19015
3/1/2017,14906
4/1/2017,17764
5/1/2017,19846
6/1/2017,21203
7/1/2017,21867
8/1/2017,11238
9/1/2017,22089
10/1/2017,22986
11/1/2017,17071
12/1/2017,13120
1/1/2018,12782
2/1/2018,13185
3/1/2018,15475
4/1/2018,20060
5/1/2018,20060
6/1/2018,21447
7/1/2018,22215
8/1/2018,22773
9/1/2018,20855
10/1/2018,25627
11/1/2018,23158
12/1/2018,11588
1/1/2019,20289
2/1/2019,25430
3/1/2019,18049
4/1/2019,19029
5/1/2019,21353
6/1/2019,21404
7/1/2019,23924
8/1/2019,23500
9/1/2019,24071
10/1/2019,21566
11/1/2019,10730
12/1/2019,17180
1/1/2020,12084
2/1/2020,18034
3/1/2020,15323
4/1/2020,26673
5/1/2020,15953
6/1/2020,18368
7/1/2020,21393
8/1/2020,23997
9/1/2020,25208
10/1/2020,24301
11/1/2020,20528
12/1/2020,23115
