Date,Temperature,Humidity,Pressure
6/1/2013,22,67,1013
7/1/2013,26,68,1017
8/1/2013,23,64,1016
9/1/2013,20,61,1017
10/1/2013,16,61,1018
11/1/2013,7,53,1021
12/1/2013,4,63,1019
1/1/2014,-2,58,1019
2/1/2014,0,57,1017
3/1/2014,3,47,1016
4/1/2014,11,54,1017
5/1/2014,17,59,1016
6/1/2014,22,62,1016
7/1/2014,24,64,1014
8/1/2014,23,60,1016
9/1/2014,21,63,1019
10/1/2014,15,64,1014
11/1/2014,7,55,1017
12/1/2014,5,65,1020
1/1/2015,-1,54,1019
2/1/2015,-4,53,1018
3/1/2015,3,54,1019
4/1/2015,12,50,1015
5/1/2015,20,57,1020
6/1/2015,21,66,1015
7/1/2015,26,59,1013
8/1/2015,26,54,1015
9/1/2015,23,60,1018
10/1/2015,14,57,1019
11/1/2015,12,60,1022
12/1/2015,10,66,1019
1/1/2016,1,51,1015
2/1/2016,3,55,1016
3/1/2016,9,51,1017
4/1/2016,11,49,1017
5/1/2016,17,60,1015
6/1/2016,22,57,1013
7/1/2016,26,65,1014
8/1/2016,26,65,1017
9/1/2016,22,65,1019
10/1/2016,15,68,1019
11/1/2016,10,58,1017
12/1/2016,4,59,1020
1/1/2017,3,69,1016
2/1/2017,5,59,1014
3/1/2017,4,55,1019
4/1/2017,13,66,1016
5/1/2017,16,70,1012
6/1/2017,22,65,1013
7/1/2017,24,69,1015
8/1/2017,23,70,1016
9/1/2017,21,69,1017
10/1/2017,18,69,1019
11/1/2017,9,62,1020
12/1/2017,2,62,1017
1/1/2018,0,62,1021
2/1/2018,6,71,1022
3/1/2018,4,61,1012
4/1/2018,9,60,1015
5/1/2018,18,70,1017
6/1/2018,22,67,1013
7/1/2018,25,71,1018
8/1/2018,25,75,1016
9/1/2018,21,81,1021
10/1/2018,14,73,1017
11/1/2018,7,68,1017
12/1/2018,5,70,1018
1/1/2019,1,60,1017
2/1/2019,2,61,1020
3/1/2019,5,55,1019
4/1/2019,12,61,1016
5/1/2019,16,74,1015
6/1/2019,22,68,1013
7/1/2019,26,67,1014
8/1/2019,24,70,1015
9/1/2019,21,65,1019
10/1/2019,15,72,1018
11/1/2019,7,58,1017
12/1/2019,4,72,1017
1/1/2020,4,62,1019
2/1/2020,5,64,1015
3/1/2020,8,61,1019
4/1/2020,10,61,1011
5/1/2020,15,61,1017
6/1/2020,23,63,1015
7/1/2020,26,70,1014
8/1/2020,24,71,1014
9/1/2020,21,70,1018
10/1/2020,14,77,1019
11/1/2020,12,62,1020
12/1/2020,4,64,1016
